filename,label
sample126,surprised
sample132,happy
sample293,fearful
sample287,angry
sample278,calm
sample250,fearful
sample244,neutral
sample091,neutral
sample085,surprised
sample052,angry
sample046,fearful
sample047,surprised
sample053,calm
sample084,fearful
sample090,angry
sample245,happy
sample251,angry
sample279,calm
sample286,calm
sample292,angry
sample133,fearful
sample127,surprised
sample119,fearful
sample131,angry
sample125,surprised
sample284,happy
sample290,surprised
sample247,fearful
sample253,calm
sample086,fearful
sample092,sad
sample079,fearful
sample045,disgust
sample051,sad
sample050,angry
sample044,surprised
sample078,calm
sample093,fearful
sample087,disgust
sample252,angry
sample246,calm
sample291,calm
sample285,disgust
sample124,sad
sample130,fearful
sample118,surprised
sample134,surprised
sample120,fearful
sample108,angry
sample281,disgust
sample295,angry
sample242,fearful
sample256,surprised
sample083,surprised
sample097,angry
sample040,sad
sample054,disgust
sample068,calm
sample069,fearful
sample055,fearful
sample041,calm
sample096,calm
sample082,disgust
sample257,angry
sample243,angry
sample294,fearful
sample280,angry
sample109,surprised
sample121,fearful
sample135,surprised
sample123,neutral
sample137,fearful
sample309,happy
sample296,happy
sample282,sad
sample255,angry
sample241,calm
sample269,happy
sample094,calm
sample080,calm
sample057,fearful
sample043,angry
sample042,happy
sample056,surprised
sample081,disgust
sample095,sad
sample268,happy
sample240,calm
sample254,sad
sample283,fearful
sample297,disgust
sample308,happy
sample136,angry
sample122,calm
sample186,angry
sample192,fearful
sample179,angry
sample145,surprised
sample151,disgust
sample233,happy
sample227,fearful
sample019,calm
sample031,happy
sample025,disgust
sample024,sad
sample030,happy
sample018,calm
sample226,sad
sample232,happy
sample150,sad
sample144,calm
sample178,fearful
sample193,surprised
sample187,sad
sample191,angry
sample185,surprised
sample152,surprised
sample146,fearful
sample218,happy
sample224,fearful
sample230,surprised
sample026,sad
sample032,disgust
sample033,happy
sample027,neutral
sample231,disgust
sample225,fearful
sample219,disgust
sample147,fearful
sample153,fearful
sample184,surprised
sample190,disgust
sample194,disgust
sample180,neutral
sample157,sad
sample143,fearful
sample221,sad
sample235,calm
sample209,calm
sample023,angry
sample037,surprised
sample036,sad
sample022,sad
sample208,happy
sample234,calm
sample220,sad
sample142,calm
sample156,neutral
sample181,calm
sample195,fearful
sample183,fearful
sample197,fearful
sample140,surprised
sample154,disgust
sample168,happy
sample236,disgust
sample222,calm
sample034,sad
sample020,disgust
sample008,disgust
sample009,disgust
sample021,surprised
sample035,disgust
sample223,surprised
sample237,angry
sample169,surprised
sample155,neutral
sample141,surprised
sample196,happy
sample182,sad
sample158,fearful
sample164,surprised
sample170,disgust
sample212,angry
sample206,angry
sample038,calm
sample010,sad
sample004,happy
sample005,neutral
sample011,surprised
sample039,surprised
sample207,fearful
sample213,disgust
sample171,angry
sample165,disgust
sample159,sad
sample198,fearful
sample173,disgust
sample167,angry
sample239,happy
sample205,calm
sample211,calm
sample007,disgust
sample013,disgust
sample012,angry
sample006,calm
sample210,surprised
sample204,fearful
sample238,sad
sample166,surprised
sample172,disgust
sample199,angry
sample189,calm
sample176,sad
sample162,surprised
sample200,surprised
sample214,sad
sample228,happy
sample002,angry
sample016,angry
sample017,fearful
sample003,surprised
sample229,angry
sample215,calm
sample201,angry
sample163,calm
sample177,sad
sample188,sad
sample161,happy
sample175,fearful
sample149,angry
sample217,sad
sample203,surprised
sample015,sad
sample001,calm
sample029,happy
sample028,calm
sample000,sad
sample014,calm
sample202,angry
sample216,surprised
sample148,calm
sample174,calm
sample160,happy
sample107,sad
sample113,disgust
sample305,sad
sample311,angry
sample259,calm
sample271,happy
sample265,surprised
sample098,angry
sample073,disgust
sample067,calm
sample066,fearful
sample072,happy
sample099,sad
sample264,calm
sample270,surprised
sample258,happy
sample310,calm
sample304,fearful
sample112,neutral
sample106,happy
sample138,surprised
sample110,happy
sample104,fearful
sample312,disgust
sample306,calm
sample299,calm
sample266,happy
sample272,angry
sample058,sad
sample064,fearful
sample070,surprised
sample071,surprised
sample065,happy
sample059,angry
sample273,happy
sample267,angry
sample298,surprised
sample307,happy
sample313,fearful
sample105,fearful
sample111,calm
sample139,fearful
sample115,disgust
sample101,surprised
sample129,surprised
sample303,happy
sample288,disgust
sample263,happy
sample277,happy
sample061,angry
sample075,angry
sample049,happy
sample048,disgust
sample074,fearful
sample060,neutral
sample276,angry
sample262,calm
sample289,sad
sample302,calm
sample128,happy
sample100,calm
sample114,happy
sample102,fearful
sample116,fearful
sample300,fearful
sample314,angry
sample274,neutral
sample260,neutral
sample248,calm
sample089,sad
sample076,neutral
sample062,happy
sample063,angry
sample077,surprised
sample088,angry
sample249,sad
sample261,happy
sample275,surprised
sample301,surprised
sample117,sad
sample103,neutral
